date,spy_close,spy_adj_close,spy_ret3,sma200,vix,vix_ret3,vix3m,fwd_2s,fwd_3s,fwd_5s,fwd_10s,fwd_15s
2019-03-06,277.33,248.0938,-0.011,244.17,15.74,0.1599,16.74,-0.0103,0.004,0.0145,0.0197,0.0128
2019-03-07,275.01,246.0184,-0.0157,244.2,16.59,0.134,17.3,0.0125,0.0163,0.0224,0.0399,0.0252
2019-03-08,274.46,245.5264,-0.0163,244.23,16.05,0.0889,17.11,0.0183,0.0251,0.0295,0.0219,0.0338
2019-03-22,279.25,250.9116,-0.0112,244.82,16.48,0.2153,17.37,0.0067,0.0014,0.0116,0.0334,0.0391
2019-03-26,281.12,252.592,-0.0127,244.89,14.68,0.077,16.45,-0.0015,0.0048,0.0173,0.022,0.0322
2019-05-24,282.78,254.0836,-0.013,247.56,15.85,0.0602,17.09,-0.0159,-0.0133,-0.029,0.0219,0.0233
2019-05-28,280.15,251.7204,-0.0192,247.56,17.5,0.1864,17.9,-0.004,-0.0174,0.0014,0.0312,0.0437
2019-05-29,278.27,250.0313,-0.0137,247.54,17.9,0.0579,18.24,-0.0108,-0.0133,0.0169,0.0364,0.0531
2019-05-30,279.03,250.714,-0.0133,247.54,17.3,0.0915,17.96,-0.016,0.0054,0.0207,0.0378,0.0603
2019-06-25,290.76,262.5243,-0.0125,247.96,16.28,0.1037,17.12,0.0025,0.0077,0.0195,0.027,0.024
2019-06-26,290.47,262.2625,-0.012,248,16.21,0.0526,17.05,0.0087,0.0179,0.0287,0.0304,0.0288
2019-07-31,297.43,268.5467,-0.0152,249.54,16.12,0.3257,16.91,-0.0162,-0.0458,-0.0318,-0.0455,-0.0167
2019-08-01,294.84,266.2082,-0.022,249.64,17.87,0.3928,17.99,-0.0374,-0.0239,-0.0041,-0.0346,-0.0084
2019-08-02,292.62,264.2036,-0.0269,249.74,17.61,0.2633,17.89,-0.0165,-0.0159,-0.0034,-0.0129,-0.0266
2019-08-07,287.97,260.0052,-0.0159,249.9,19.49,0.1068,19.5,0.0127,0.0003,-0.0141,0.0156,0.0032
2019-08-16,288.85,260.7999,-0.0126,250.63,18.47,0.0542,19.7,0.0043,0.0125,-0.0138,0.0125,0.0324
2019-08-23,284.85,257.1883,-0.0181,251.15,19.87,0.1354,20.36,0.0071,0.0142,0.0267,0.0469,0.0537
2019-08-26,288,260.0322,-0.0152,251.23,19.32,0.2228,19.82,0.0031,0.0159,0.0095,0.0352,0.0449
2019-08-27,286.87,259.0121,-0.0188,251.27,20.31,0.2176,20.64,0.0199,0.0195,0.025,0.0466,0.0496
2019-09-24,295.87,268.3717,-0.0128,253.85,17.05,0.2135,18.55,0.0038,-0.0016,-0.0089,-0.0248,0.0102
2019-10-01,293.24,265.9862,-0.0127,254.68,18.56,0.1549,19.35,-0.0096,0.0038,-0.0161,0.0192,0.0197
2019-10-02,288.06,261.2876,-0.0248,254.83,20.56,0.194,20.74,0.0218,0.0174,0.0111,0.0359,0.041
2019-10-03,290.42,263.4283,-0.0214,255.01,19.12,0.1773,19.78,0.0092,-0.0065,0.0097,0.0305,0.0343
2019-10-09,291.27,264.1993,-0.0105,255.87,18.64,0.0939,19.51,0.0172,0.0161,0.0245,0.0296,0.0442
2019-12-03,309.55,280.7803,-0.0188,264,15.96,0.3583,17.63,0.008,0.0172,0.0129,0.0324,0.0428
2020-01-28,326.89,297.9666,-0.0146,271.61,16.28,0.2542,17.03,0.0024,-0.0158,0.0066,0.0256,0.035
2020-06-12,304.21,278.9239,-0.0517,274.15,36.09,0.309,38.05,0.0288,0.0245,0.019,-0.0093,0.0468
2020-06-15,307.05,281.5278,-0.0375,274.26,34.4,0.2477,36.43,0.015,0.0154,0.0161,-0.0041,0.0264
2020-06-26,300.05,276.3203,-0.0385,275.02,34.73,0.1071,35.8,0.0277,0.0349,0.0567,0.0493,0.0809
2020-09-03,345.39,318.0746,-0.0112,282.5,33.6,0.2722,37.63,-0.0353,-0.0162,-0.0328,-0.0388,-0.0444
2020-09-04,342.57,315.4775,-0.0284,282.66,30.75,0.1773,34.75,-0.0081,-0.0253,-0.012,-0.0417,-0.0206
2020-09-08,333.21,306.8578,-0.0685,282.78,31.46,0.184,34.31,0.002,0.0026,0.0209,-0.0048,0.0015
2020-09-21,326.97,302.3167,-0.0311,283.95,27.78,0.0668,31.64,-0.0132,-0.0106,0.0221,0.0391,0.0779
2020-09-23,322.64,298.3131,-0.0242,284.12,28.58,0.1065,33.28,0.0189,0.0358,0.038,0.0562,0.0784
2020-10-15,347.5,321.2987,-0.014,286,26.97,0.0758,28.72,-0.0158,-0.0119,-0.0083,-0.0504,0.0079
2020-10-19,342.01,316.2226,-0.017,286.24,29.18,0.1053,30.4,0.0021,0.0076,-0.0077,-0.0345,0.0367
2020-10-20,343.38,317.4893,-0.0119,286.35,29.35,0.0882,30.11,0.0036,0.007,-0.015,-0.0214,0.031
2020-12-11,366.3,338.6811,-0.0105,291.65,23.31,0.1272,26.05,0.009,0.0106,0.0122,0.0204,0.0181
2021-01-28,377.63,350.6453,-0.0176,308.03,30.21,0.3027,31.77,-0.0037,0.0104,0.0227,0.0346,0.0328
