date,open,high,low,close,adj_close,volume
2023-04-18,415.5800,415.7200,412.7800,414.2100,397.5724,63560000
2023-04-19,412.2200,415.0800,412.1600,414.1400,397.5053,55227300
2023-04-20,411.2100,413.7000,410.2700,411.8800,395.3361,75840400
2023-04-21,412.1900,412.6800,410.1700,412.2000,395.6433,73457400
2023-04-24,411.9900,413.0700,410.6000,412.6300,396.0560,64332100
2023-04-25,410.5800,411.1600,406.0200,406.0800,389.7691,97766700
2023-04-26,406.7200,407.8400,403.7800,404.3600,388.1182,80447000
2023-04-27,407.0000,412.6900,406.7400,412.4100,395.8448,92968400
2023-04-28,411.4900,415.9400,411.4300,415.9300,399.2234,89433100
2023-05-01,415.4700,417.6200,415.2700,415.5100,398.8203,62122300
2023-05-02,414.7700,414.8200,407.8200,410.8400,394.3379,103998500
2023-05-03,411.3600,413.8700,407.7700,408.0200,391.6311,91531800
2023-05-04,406.9300,407.2700,403.7400,405.1300,388.8572,94901900
2023-05-05,408.9100,413.7200,408.6400,412.6300,396.0560,87891800
2023-05-08,412.9700,413.2400,411.2800,412.7400,396.1615,50046800
2023-05-09,411.1300,412.0900,410.6900,410.9300,394.4243,49220100
2023-05-10,413.8800,414.5400,408.8700,412.8500,396.2671,96142900
2023-05-11,411.9500,412.4300,409.9700,412.1300,395.5760,70157100
2023-05-12,413.4200,413.6400,409.0700,411.5900,395.0578,70481500
2023-05-15,412.2200,413.4300,410.2300,413.0100,396.4207,54289400
2023-05-16,411.8600,412.8200,410.2400,410.2500,393.7716,57705500
2023-05-17,412.3500,415.8600,410.6400,415.2300,398.5515,87287000
2023-05-18,414.9000,419.6700,414.6700,419.2300,402.3909,97177200
2023-05-19,420.1700,420.7200,417.3500,418.6200,401.8054,103793300
2023-05-22,418.6400,420.3900,417.3500,418.7900,401.9685,60745400
2023-05-23,417.0800,418.7200,413.6800,414.0900,397.4573,86383500
2023-05-24,412.4200,412.8200,409.8800,411.0900,394.5778,89213700
2023-05-25,414.7400,416.1600,412.4100,414.6500,397.9948,90961600
2023-05-26,415.3300,420.7700,415.2500,420.0200,403.1491,93830000
2023-05-30,422.0300,422.5800,418.7400,420.1800,403.3027,72216000
2023-05-31,418.2800,419.2200,416.2200,417.8500,401.0663,110811800
2023-06-01,418.0900,422.9200,416.7900,421.8200,404.8769,88865000
2023-06-02,424.5000,428.7400,423.9500,427.9200,410.7318,91426200
2023-06-05,428.2800,429.6200,426.3700,427.1000,409.9448,65460200
2023-06-06,426.6700,428.5800,425.9900,428.0300,410.8373,64022200
2023-06-07,428.4400,429.6200,426.1100,426.5500,409.4168,85373300
2023-06-08,426.6200,429.6000,425.8200,429.1300,411.8932,61952800
2023-06-09,429.9600,431.9900,428.8700,429.9000,412.6323,85742800
2023-06-12,430.9200,433.8800,430.1700,433.8000,416.3756,76104300
2023-06-13,435.3200,437.3300,434.6300,436.6600,419.1207,95899700
2023-06-14,437.0100,439.0600,433.5900,437.1800,419.6198,100612100
